crop,location,quality,market_price,quantity
Cabbage,Tirunelveli,A,24.16,850
Tomato,Tirunelveli,B,25.81,851
Brinjal,Erode,B,33.07,852
Brinjal,Vellore,C,27.39,853
Tomato,Tirunelveli,A,32.8,854
Chilli,Erode,B,60.14,855
Cauliflower,Salem,B,34.26,856
Okra,Chennai,C,39.03,857
Tomato,Madurai,A,35.48,858
Potato,Thanjavur,B,22.75,859
Okra,Coimbatore,A,52.78,860
Okra,Chennai,A,53.83,861
Beans,Dindigul,B,49.54,862
Onion,Trichy,B,31.05,863
Chilli,Tirunelveli,B,57.87,864
Okra,Vellore,C,36.77,865
Carrot,Salem,A,42.93,866
Potato,Coimbatore,A,33.18,867
Cauliflower,Trichy,C,29.23,868
Beans,Chennai,B,52.73,869
Onion,Coimbatore,C,30.43,870
Potato,Madurai,B,24.41,871
Cauliflower,Tirunelveli,A,38.83,872
Carrot,Madurai,B,38.29,873
Onion,Vellore,A,39.88,874
Okra,Chennai,A,53.81,875
Brinjal,Thanjavur,A,33.13,876
Tomato,Chennai,C,26.6,877
Tomato,Chennai,A,36.41,878
Brinjal,Vellore,A,36.45,879
Chilli,Trichy,B,59.55,880
Tomato,Tirunelveli,C,23.16,881
Brinjal,Vellore,A,37.9,882
Tomato,Vellore,B,30.29,883
Chilli,Coimbatore,B,64.79,884
Carrot,Tirunelveli,B,36.01,885
Okra,Salem,A,47.54,886
Tomato,Madurai,C,26.68,887
Brinjal,Madurai,B,31.28,888
Tomato,Coimbatore,A,37.92,889
Potato,Chennai,B,30.21,890
Onion,Chennai,B,36.68,891
Cauliflower,Tirunelveli,B,31.36,892
Brinjal,Chennai,B,33.22,893
Beans,Coimbatore,A,62.15,894
Carrot,Tirunelveli,B,35.5,895
Okra,Thanjavur,C,33.05,896
Onion,Coimbatore,B,37.26,897
Cauliflower,Salem,C,31.01,898
Beans,Dindigul,B,49.38,899
Beans,Trichy,A,56.1,900
Beans,Tirunelveli,A,54.68,901
Chilli,Madurai,A,68.91,902
Cauliflower,Chennai,C,30.35,903
Potato,Chennai,B,28.03,904
Onion,Thanjavur,C,26.13,905
Cauliflower,Tirunelveli,A,38.5,906
Potato,Dindigul,B,25.53,907
Cabbage,Trichy,B,20.43,908
Cabbage,Madurai,A,27.85,909
Carrot,Trichy,B,35.65,910
Cabbage,Trichy,B,22.47,911
Carrot,Erode,B,39.22,912
Onion,Thanjavur,B,30.46,913
Tomato,Erode,A,35.88,914
Cauliflower,Tirunelveli,C,27.62,915
Carrot,Chennai,B,38.64,916
Tomato,Thanjavur,C,23.19,917
Beans,Tirunelveli,A,54.54,918
Cauliflower,Vellore,B,35.78,919
Onion,Salem,A,38.03,920
Carrot,Madurai,A,43.24,921
Carrot,Tirunelveli,A,39.03,922
Onion,Salem,C,28.13,923
Cauliflower,Thanjavur,C,26.41,924
Potato,Trichy,A,27.5,925
Beans,Vellore,B,49.22,926
Okra,Coimbatore,C,42.03,927
Potato,Chennai,B,28.62,928
Cabbage,Vellore,A,27.28,929
Brinjal,Dindigul,C,26.02,930
Chilli,Erode,B,60.52,931
Cauliflower,Madurai,A,40.39,932
Carrot,Vellore,A,42.75,933
Beans,Tirunelveli,A,53.7,934
Carrot,Tirunelveli,A,40.26,935
Onion,Dindigul,A,38.21,936
Tomato,Dindigul,C,24.68,937
Brinjal,Erode,B,33.61,938
Brinjal,Chennai,C,28.2,939
Potato,Thanjavur,A,25.22,940
Cauliflower,Tirunelveli,B,33.68,941
Brinjal,Salem,A,35.83,942
Cauliflower,Salem,C,29.19,943
Okra,Salem,A,50.32,944
Onion,Trichy,B,30.25,945
Carrot,Coimbatore,B,41.44,946
Onion,Coimbatore,B,37.39,947
Cauliflower,Erode,B,38.22,948
Onion,Tirunelveli,B,30.75,949
Cabbage,Chennai,A,30.07,950
Tomato,Dindigul,A,32.88,951
Okra,Thanjavur,C,34.44,952
Potato,Erode,B,28.43,953
Beans,Madurai,C,42.33,954
Onion,Vellore,A,39.65,955
Carrot,Chennai,B,40.87,956
Onion,Madurai,B,34.43,957
Cauliflower,Thanjavur,C,27.06,958
Cauliflower,Madurai,A,40.71,959
Cabbage,Chennai,B,26.5,960
Brinjal,Dindigul,B,30.74,961
Brinjal,Trichy,B,29.61,962
Potato,Madurai,B,24.61,963
Chilli,Erode,A,70.06,964
Beans,Vellore,B,50.31,965
Tomato,Coimbatore,B,33.67,966
Carrot,Vellore,C,32.59,967
Carrot,Vellore,C,33.65,968
Brinjal,Dindigul,B,31.16,969
Chilli,Tirunelveli,A,65.93,970
Okra,Coimbatore,A,55.23,971
Cauliflower,Vellore,B,36.31,972
Potato,Trichy,B,25.01,973
Onion,Vellore,A,39.87,974
Cauliflower,Thanjavur,B,32.37,975
Onion,Coimbatore,C,32.58,976
Beans,Thanjavur,B,45.33,977
Tomato,Dindigul,B,29.57,978
Carrot,Thanjavur,B,34.99,979
Onion,Salem,B,33.83,980
Chilli,Coimbatore,C,53.48,981
Beans,Salem,A,55.63,982
Brinjal,Vellore,C,27.86,983
Chilli,Tirunelveli,B,57.66,984
Brinjal,Trichy,A,33.01,985
Carrot,Tirunelveli,B,35.74,986
Chilli,Vellore,B,59.45,987
Okra,Vellore,C,37.57,988
Tomato,Tirunelveli,A,32.13,989
Carrot,Coimbatore,B,40.97,990
Cabbage,Tirunelveli,C,17.81,991
Tomato,Vellore,C,26.47,992
Brinjal,Chennai,A,39.63,993
Cauliflower,Erode,B,36.93,994
Chilli,Vellore,B,61.16,995
Brinjal,Vellore,A,36.39,996
Brinjal,Erode,C,27.2,997
Carrot,Coimbatore,A,48.18,998
Beans,Coimbatore,B,52.53,999
Cabbage,Chennai,B,25.86,1000
Beans,Vellore,A,56.94,1001
Cabbage,Madurai,B,23.66,1002
Carrot,Madurai,A,43.48,1003
Cauliflower,Chennai,A,44.25,1004
Tomato,Salem,A,33.74,1005
Chilli,Madurai,B,61.25,1006
Tomato,Tirunelveli,A,31.41,1007
Brinjal,Madurai,B,32.8,1008
Cabbage,Thanjavur,A,23.11,1009
Chilli,Trichy,A,67.73,1010
Tomato,Thanjavur,C,21.27,1011
Brinjal,Vellore,B,33.12,1012
Brinjal,Erode,B,33.12,1013
Cabbage,Erode,C,21.94,1014
Brinjal,Salem,A,36.6,1015
Brinjal,Trichy,B,30.32,1016
Cauliflower,Dindigul,A,40.16,1017
Onion,Vellore,A,39.04,1018
Okra,Salem,B,43.05,1019
Potato,Coimbatore,A,34.18,1020
Chilli,Madurai,B,61.03,1021
Carrot,Coimbatore,B,40.53,1022
Chilli,Tirunelveli,C,48.31,1023
Brinjal,Vellore,A,35.86,1024
Onion,Dindigul,C,27.68,1025
Brinjal,Erode,A,37.19,1026
Chilli,Thanjavur,C,48.71,1027
Okra,Chennai,B,45.33,1028
Onion,Coimbatore,A,43.48,1029
Chilli,Madurai,A,68.87,1030
Onion,Vellore,B,34.31,1031
Cabbage,Chennai,B,26.09,1032
Chilli,Tirunelveli,B,57.51,1033
Chilli,Coimbatore,B,63.7,1034
Cauliflower,Dindigul,C,29.32,1035
Tomato,Trichy,A,31.64,1036
Brinjal,Thanjavur,A,32.86,1037
Brinjal,Trichy,C,25.96,1038
Carrot,Erode,B,38.66,1039
Brinjal,Salem,A,35.28,1040
Carrot,Trichy,B,37.2,1041
Chilli,Coimbatore,B,63.85,1042
Brinjal,Chennai,B,34.01,1043
Okra,Salem,B,42.64,1044
Cabbage,Salem,B,22.37,1045
Cabbage,Erode,B,25.54,1046
Beans,Trichy,B,48.46,1047
Brinjal,Madurai,B,32.78,1048
Cauliflower,Trichy,B,33.32,1049
Onion,Chennai,B,34.47,1050
Tomato,Chennai,A,36.34,1051
Cauliflower,Coimbatore,A,44.51,1052
Carrot,Tirunelveli,A,39.82,1053
Potato,Chennai,B,28.6,1054
Cabbage,Tirunelveli,A,24.39,1055
Cabbage,Dindigul,A,26.46,1056
Potato,Madurai,C,23.64,1057
Okra,Erode,C,37.52,1058
Carrot,Dindigul,A,41.75,1059
Brinjal,Trichy,A,34.94,1060
Carrot,Madurai,C,32.36,1061
Okra,Erode,C,38.71,1062
Cabbage,Dindigul,B,22.16,1063
Cauliflower,Madurai,B,36.63,1064
Potato,Trichy,A,28.74,1065
Onion,Vellore,A,38.44,1066
Chilli,Dindigul,A,67.95,1067
Potato,Erode,A,29.88,1068
Onion,Erode,B,37.45,1069
Carrot,Erode,B,39.41,1070
Beans,Tirunelveli,C,40.41,1071
Chilli,Trichy,A,65.84,1072
Beans,Coimbatore,A,59.16,1073
Cauliflower,Coimbatore,C,32.48,1074
Okra,Coimbatore,B,47.72,1075
Brinjal,Thanjavur,C,23.8,1076
Beans,Madurai,B,50.11,1077
Cabbage,Dindigul,B,22.35,1078
Okra,Madurai,A,50.07,1079
Okra,Dindigul,A,50.23,1080
Potato,Coimbatore,B,29.65,1081
Cauliflower,Coimbatore,B,39.82,1082
Onion,Trichy,B,32.03,1083
Onion,Dindigul,B,32.04,1084
Potato,Erode,B,28.51,1085
Okra,Vellore,B,44.29,1086
Chilli,Chennai,B,63.46,1087
Chilli,Coimbatore,A,71.87,1088
Beans,Madurai,B,49.48,1089
Beans,Vellore,A,58.14,1090
Cauliflower,Tirunelveli,B,32.75,1091
Potato,Coimbatore,C,25.59,1092
Okra,Vellore,B,41.81,1093
Onion,Thanjavur,A,34.18,1094
Okra,Tirunelveli,A,48.16,1095
Chilli,Thanjavur,A,64.29,1096
Cabbage,Thanjavur,B,20.34,1097
Cauliflower,Thanjavur,C,26.26,1098
Brinjal,Salem,A,35.39,1099
